"编号","类别","中文文案","中文来源","源码原文","出现位置","审核意见"
"NT0553","服务端与协议错误","插件目录响应无效","现有中文/翻译","插件目录响应无效","src/server/directoryPluginCache.ts:74",""
"NT0554","服务端与协议错误","插件目录暂不可用","现有中文/翻译","插件目录暂不可用","src/server/directoryPluginCache.ts:69",""
"NT0555","服务端与协议错误","撤销 {变量1} 的补丁失败：{变量2}","中文审核译文；当前源码为英文模板","Failed to revert patch for {变量1}: {变量2}","src/server/codexAppServerBridge.ts:3455",""
"NT0556","服务端与协议错误","持久化保存完成列表失败。","中文审核译文；当前源码为英文","Failed to persist completion list","src/server/codexAppServerBridge.ts:7206",""
"NT0557","服务端与协议错误","创建登录会话失败。","中文审核译文；当前源码为英文","Failed to create login session","src/server/authMiddleware.ts:272",""
"NT0558","服务端与协议错误","创建提示词失败。","中文审核译文；当前源码为英文","Failed to create prompt","src/server/codexAppServerBridge.ts:9364",""
"NT0559","服务端与协议错误","此会话不支持撤回历史。可从已完成的回合创建分支。","现有中文/翻译","此会话不支持撤回历史。可从已完成的回合创建分支。","src/server/threadHistory.ts:220",""
"NT0560","服务端与协议错误","此会话仍在执行，请等当前回合结束后更换账号。其他会话不受影响。","现有中文/翻译","此会话仍在执行，请等当前回合结束后更换账号。其他会话不受影响。","src/server/codexAppServerBridge.ts:5580",""
"NT0561","服务端与协议错误","此目标已有待执行任务，请等待队列","现有中文/翻译","此目标已有待执行任务，请等待队列","src/server/automationEngine.ts:239",""
"NT0562","服务端与协议错误","此视图不支持该补丁操作。","中文审核译文；当前源码为英文","Unsupported patch action for this view","src/server/reviewGit.ts:885",""
"NT0563","服务端与协议错误","此视图不支持该批量操作。","中文审核译文；当前源码为英文","Unsupported bulk action for this view","src/server/reviewGit.ts:914",""
"NT0564","服务端与协议错误","此消息的编辑状态已变化","现有中文/翻译","此消息的编辑状态已变化","src/server/deliveryStore.ts:262",""
"NT0565","服务端与协议错误","此主机无法使用集成终端。","中文审核译文；当前源码为英文","Integrated terminal is unavailable on this host","src/server/codexAppServerBridge.ts:7755；src/server/codexAppServerBridge.ts:7780；src/server/codexAppServerBridge.ts:7798；src/server/codexAppServerBridge.ts:7815；src/server/terminalManager.ts:230；src/server/terminalManager.ts:333；src/server/terminalManager.ts:373",""
"NT0566","服务端与协议错误","此主机无法使用集成终端。{变量1}","中文审核译文；当前源码为英文模板","Integrated terminal is unavailable on this host. {变量1}","src/server/terminalManager.ts:384",""
"NT0567","服务端与协议错误","从源码运行时，请执行 pnpm run build:frontend 构建前端资源。","中文审核译文；当前源码为英文","If running from source, build frontend assets with: pnpm run build:frontend","src/server/httpServer.ts:255",""
"NT0568","服务端与协议错误","存在已跟踪但未提交的改动，无法切换分支或重置。请先提交、暂存或放弃这些改动。未跟踪文件可以保留，除非 Git 操作会覆盖它们。","中文审核译文；当前源码为英文","Cannot switch branches or reset with tracked uncommitted changes. Commit, stash, or discard tracked changes first. Untracked files are allowed unless Git would overwrite them.","src/server/codexAppServerBridge.ts:3958",""
"NT0569","服务端与协议错误","打开文件夹或创建 {变量1} 失败。","中文审核译文；当前源码为英文模板","Failed to open folder or create {变量1}.","src/server/localBrowseUi.ts:203",""
"NT0570","服务端与协议错误","打开文件夹失败。","中文审核译文；当前源码为英文","Failed to open folder.","src/server/localBrowseUi.ts:204",""
"NT0571","服务端与协议错误","代理错误：{变量1}","中文审核译文；当前源码为英文模板","Proxy error: {变量1}","src/server/unifiedResponsesProxy.ts:629",""
"NT0572","服务端与协议错误","代理设置格式错误。","现有中文/翻译","出口设置格式错误。","src/server/apiProxy/store.ts:99",""
"NT0573","服务端与协议错误","代理设置正在变更。","现有中文/翻译","出口设置正在变更。","src/server/apiProxy/gateway.ts:693",""
"NT0574","服务端与协议错误","代理暂时不可用，正在等待重试窗口。","现有中文/翻译","出口暂时不可用，正在等待重试窗口。","src/server/apiProxy/component.ts:57",""
"NT0575","服务端与协议错误","代理正在等待活动请求结束，请稍后重试。","现有中文/翻译","出口正在等待活动请求结束，请稍后重试。","src/server/apiProxy/activity.ts:30",""
"NT0576","服务端与协议错误","代理正在等待活动请求结束。","现有中文/翻译","出口正在等待活动请求结束。","src/server/apiProxy/activity.ts:40",""
"NT0577","服务端与协议错误","当前 Codex 凭据不可用。","中文审核译文；当前源码为英文","The active Codex credential is unavailable.","src/server/accountAuthCoordinator.ts:323",""
"NT0578","服务端与协议错误","当前 Codex 上游不支持 {变量1}。","现有中文/翻译","当前 Codex 上游不支持 {变量1}。","src/server/apiProxy/gateway.ts:235",""
"NT0579","服务端与协议错误","当前 Codex CLI 不支持按回合分支，请先更新 CLI。","现有中文/翻译","当前 Codex CLI 不支持按回合分支，请先更新 CLI。","src/server/threadHistory.ts:212",""
"NT0580","服务端与协议错误","导入当前凭据失败。","中文审核译文；当前源码为英文","Failed to import the active credential.","src/server/accountRoutes.ts:119",""
"NT0581","服务端与协议错误","到期时间必须晚于现在。","现有中文/翻译","到期时间必须晚于现在。","src/server/apiProxy/store.ts:130",""
"NT0582","服务端与协议错误","登录进程失败。","中文审核译文；当前源码为英文","Login process failed.","src/server/accountAuthCoordinator.ts:401",""
"NT0583","服务端与协议错误","登录已过期，请重新开始。","现有中文/翻译","登录已过期，请重新开始。","src/server/accountAuthCoordinator.ts:406",""
"NT0584","服务端与协议错误","登录已取消。","现有中文/翻译","登录已取消。","src/server/accountAuthCoordinator.ts:1053",""
"NT0585","服务端与协议错误","等待 Codex 登录 URL 超时。","中文审核译文；当前源码为英文","Timed out waiting for the Codex login URL.","src/server/accountAuthCoordinator.ts:1058",""
"NT0586","服务端与协议错误","等待所选账号额度或该账号的自动化运行结束","现有中文/翻译","等待所选账号额度或该账号的自动化运行结束","src/server/automationEngine.ts:328",""
"NT0587","服务端与协议错误","调度器初始化失败","现有中文/翻译","调度器初始化失败","src/server/automationEngine.ts:99",""
"NT0588","服务端与协议错误","调度器已关闭","现有中文/翻译","调度器已关闭","src/server/accountActivationScheduler.ts:93",""
"NT0589","服务端与协议错误","调度器正在交接，暂不接受新运行","现有中文/翻译","调度器正在交接，暂不接受新运行","src/server/automationEngine.ts:229",""
"NT0590","服务端与协议错误","读取登录状态失败。","中文审核译文；当前源码为英文","Failed to read login status.","src/server/accountRoutes.ts:139",""
"NT0591","服务端与协议错误","读取会话失败。","中文审核译文；当前源码为英文","failed to read thread","src/server/codexAppServerBridge.ts:909",""
"NT0592","服务端与协议错误","读取免费模式状态失败。","中文审核译文；当前源码为英文","Failed to read free mode status","src/server/codexAppServerBridge.ts:7596",""
"NT0593","服务端与协议错误","读取Git 分支失败。","中文审核译文；当前源码为英文","Failed to read Git branches","src/server/codexAppServerBridge.ts:8774",""
"NT0594","服务端与协议错误","队列保存失败","现有中文/翻译","队列保存失败","src/server/codexAppServerBridge.ts:9092",""
"NT0595","服务端与协议错误","队列接口已更新，请刷新页面后重试；队列未修改","现有中文/翻译","队列接口已更新，请刷新页面后重试；队列未修改","src/server/codexAppServerBridge.ts:6813",""
"NT0596","服务端与协议错误","队列接口已更新，请刷新页面后重试；服务器队列未修改","现有中文/翻译","队列接口已更新，请刷新页面后重试；服务器队列未修改","src/server/codexAppServerBridge.ts:9082",""
"NT0597","服务端与协议错误","多个漏跑时点已合并；仅考虑最近一个时点","现有中文/翻译","多个漏跑时点已合并；仅考虑最近一个时点","src/server/automationEngine.ts:280",""
"NT0598","服务端与协议错误","额度读取失败","现有中文/翻译","额度读取失败","src/server/accountAuthCoordinator.ts:599",""
"NT0599","服务端与协议错误","额度读取失败，本次跳过","现有中文/翻译","额度读取失败，本次跳过","src/server/accountActivationAdmission.ts:23",""
"NT0600","服务端与协议错误","额度读取退避中，请等待{变量1}秒","现有中文/翻译","额度读取退避中，请等待{变量1}秒","src/server/accountAuthCoordinator.ts:191",""
"NT0601","服务端与协议错误","额度仍受限","现有中文/翻译","额度仍受限","src/server/codexAppServerBridge.ts:7154",""
"NT0602","服务端与协议错误","额度校验失败","现有中文/翻译","额度校验失败","src/server/codexAppServerBridge.ts:6388",""
"NT0603","服务端与协议错误","额度状态不可用，本次跳过","现有中文/翻译","额度状态不可用，本次跳过","src/server/accountActivationAdmission.ts:31",""
"NT0604","服务端与协议错误","发送 ID 已过期或无效，请先核对历史，不能自动重发","现有中文/翻译","发送 ID 已过期或无效，请先核对历史，不能自动重发","src/server/deliveryStore.ts:191",""
"NT0605","服务端与协议错误","发送服务已停止","现有中文/翻译","发送服务已停止","src/server/deliveryStore.ts:70；src/server/deliveryStore.ts:76；src/server/deliveryStore.ts:112",""
"NT0606","服务端与协议错误","发送记录保存失败，已停止投递；请检查存储后重启服务核对。","现有中文/翻译","发送记录保存失败，已停止投递；请检查存储后重启服务核对。","src/server/deliveryStore.ts:143",""
"NT0607","服务端与协议错误","发送记录内容无效，已停止投递","现有中文/翻译","发送记录内容无效，已停止投递","src/server/deliveryStore.ts:41",""
"NT0608","服务端与协议错误","发送记录文件损坏，已停止投递","现有中文/翻译","发送记录文件损坏，已停止投递","src/server/deliveryStore.ts:34",""
"NT0609","服务端与协议错误","发送记录写入租约已失效，已停止投递","现有中文/翻译","发送记录写入租约已失效，已停止投递","src/server/deliveryStore.ts:113",""
"NT0610","服务端与协议错误","发送接口已更新，请刷新页面后重试","现有中文/翻译","发送接口已更新，请刷新页面后重试","src/server/codexAppServerBridge.ts:6786；src/server/codexAppServerBridge.ts:6795；src/server/codexAppServerBridge.ts:7871",""
"NT0611","服务端与协议错误","发送结果未确认，不自动重试","现有中文/翻译","发送结果未确认，不自动重试","src/server/accountNotificationService.ts:216",""
"NT0612","服务端与协议错误","发送前已拒绝","现有中文/翻译","发送前已拒绝","src/server/deliveryService.ts:82",""
"NT0613","服务端与协议错误","发送确认记录损坏，已停止投递","现有中文/翻译","发送确认记录损坏，已停止投递","src/server/deliveryStore.ts:164",""
"NT0614","服务端与协议错误","发送确认记录与待发送内容冲突","现有中文/翻译","发送确认记录与待发送内容冲突","src/server/deliveryStore.ts:104",""
"NT0615","服务端与协议错误","发送首条用户消息前，无法使用 includeTurns。","中文审核译文；当前源码为英文","includeturns is unavailable before first user message","src/server/codexAppServerBridge.ts:914",""
"NT0616","服务端与协议错误","发送状态读取失败","现有中文/翻译","发送状态读取失败","src/server/codexAppServerBridge.ts:6924",""
"NT0617","服务端与协议错误","发送准备失败","现有中文/翻译","发送准备失败","src/server/deliveryService.ts:70",""
"NT0618","服务端与协议错误","反代组件连接失败，将为后续请求重新准备组件。","现有中文/翻译","反代组件连接失败，将为后续请求重新准备组件。","src/server/apiProxy/gateway.ts:453",""
"NT0619","服务端与协议错误","反代组件未能就绪。","现有中文/翻译","反代组件未能就绪。","src/server/apiProxy/component.ts:135",""
"NT0620","服务端与协议错误","反代组件校验失败。","现有中文/翻译","反代组件校验失败。","src/server/apiProxy/component.ts:89",""
"NT0621","服务端与协议错误","分配名称唯一的工作树分支失败。","中文审核译文；当前源码为英文","Failed to allocate a unique branch name for worktree","src/server/codexAppServerBridge.ts:4006",""
"NT0622","服务端与协议错误","分配唯一工作树 ID失败。","中文审核译文；当前源码为英文","Failed to allocate a unique worktree id","src/server/codexAppServerBridge.ts:8531",""
"NT0623","服务端与协议错误","分钟/小时规则目前仅支持 INTERVAL；指定日历时点请使用 DAILY/WEEKLY","现有中文/翻译","分钟/小时规则目前仅支持 INTERVAL；指定日历时点请使用 DAILY/WEEKLY","src/server/automationSchedule.ts:70",""
"NT0624","服务端与协议错误","服务曾在发送期间中断，需核对是否送达。","现有中文/翻译","服务曾在发送期间中断，需核对是否送达。","src/server/deliveryStore.ts:107",""
"NT0625","服务端与协议错误","服务已停止，尚未提交","现有中文/翻译","服务已停止，尚未提交","src/server/automationEngine.ts:362",""
"NT0626","服务端与协议错误","服务在提交前退出，请按需重试","现有中文/翻译","服务在提交前退出，请按需重试","src/server/automationEngine.ts:383",""
"NT0627","服务端与协议错误","该回合超过 2000 个历史项目，请在 Codex CLI 中查看。","现有中文/翻译","该回合超过 2000 个历史项目，请在 Codex CLI 中查看。","src/server/threadHistory.ts:208",""
"NT0628","服务端与协议错误","该回合内容超过 8 MB，请在 Codex CLI 中查看。","现有中文/翻译","该回合内容超过 8 MB，请在 Codex CLI 中查看。","src/server/threadHistory.ts:197",""
"NT0629","服务端与协议错误","该会话正在执行自动化，请等待本次运行结束","现有中文/翻译","该会话正在执行自动化，请等待本次运行结束","src/server/codexAppServerBridge.ts:6313",""
"NT0630","服务端与协议错误","该消息当前不能编辑","现有中文/翻译","该消息当前不能编辑","src/server/deliveryStore.ts:267",""
"NT0631","服务端与协议错误","该消息当前不能发送","现有中文/翻译","该消息当前不能发送","src/server/deliveryStore.ts:213",""
"NT0632","服务端与协议错误","该消息已发送或已移除，请刷新队列","现有中文/翻译","该消息已发送或已移除，请刷新队列","src/server/codexAppServerBridge.ts:6827",""
"NT0633","服务端与协议错误","该消息已送达或已被移除，请刷新状态","现有中文/翻译","该消息已送达或已被移除，请刷新状态","src/server/deliveryStore.ts:200",""
"NT0634","服务端与协议错误","该消息状态已变化，请刷新队列","现有中文/翻译","该消息状态已变化，请刷新队列","src/server/codexAppServerBridge.ts:6825",""
"NT0635","服务端与协议错误","该账号剩余额度已保留给受保护任务。","现有中文/翻译","该账号剩余额度已保留给受保护任务。","src/server/apiProxy/quotaProtection.ts:12",""
"NT0636","服务端与协议错误","工作目录必须是已有文件夹","现有中文/翻译","工作目录必须是已有文件夹","src/server/projectDirectories.ts:43",""
"NT0637","服务端与协议错误","工作目录必须填写绝对路径","现有中文/翻译","工作目录必须填写绝对路径","src/server/codexAppServerBridge.ts:9173；src/server/projectDirectories.ts:39",""
"NT0638","服务端与协议错误","工作目录不存在或不可访问","现有中文/翻译","工作目录不存在或不可访问","src/server/automationEngine.ts:35",""
"NT0639","服务端与协议错误","工作树名称必须为单个文件夹名。","中文审核译文；当前源码为英文","Worktree name must be a single folder name","src/server/codexAppServerBridge.ts:8576",""
"NT0640","服务端与协议错误","观察记录保存失败；刷新可读内存记录，重启后可能缺失。","现有中文/翻译","观察记录保存失败；刷新可读内存记录，重启后可能缺失。","src/server/processActivityStore.ts:166",""
"NT0641","服务端与协议错误","观察记录格式无效","现有中文/翻译","观察记录格式无效","src/server/processActivityStore.ts:34",""
"NT0642","服务端与协议错误","还原文件改动失败。","中文审核译文；当前源码为英文","Failed to revert file changes","src/server/codexAppServerBridge.ts:8310",""
"NT0643","服务端与协议错误","核对期间运行状态已变化，请稍后重试","现有中文/翻译","核对期间运行状态已变化，请稍后重试","src/server/codexAppServerBridge.ts:6597",""
"NT0644","服务端与协议错误","后台终端查询繁忙，请稍后重试","现有中文/翻译","后台终端查询繁忙，请稍后重试","src/server/backgroundTerminalReader.ts:77",""
"NT0645","服务端与协议错误","后台终端超过 200 项，当前无法完整核对列表","现有中文/翻译","后台终端超过 200 项，当前无法完整核对列表","src/server/backgroundTerminalReader.ts:71",""
"NT0646","服务端与协议错误","后台终端分页未前进，请重试","现有中文/翻译","后台终端分页未前进，请重试","src/server/backgroundTerminalReader.ts:67",""
"NT0647","服务端与协议错误","后台终端分页响应无效","现有中文/翻译","后台终端分页响应无效","src/server/backgroundTerminalReader.ts:61",""
"NT0648","服务端与协议错误","后台终端核对超时，请稍后重试","现有中文/翻译","后台终端核对超时，请稍后重试","src/server/backgroundTerminalReader.ts:8；src/server/backgroundTerminalReader.ts:13",""
"NT0649","服务端与协议错误","后台终端核对响应无效","现有中文/翻译","后台终端核对响应无效","src/server/backgroundTerminalReader.ts:15",""
"NT0650","服务端与协议错误","后台终端列表无效","现有中文/翻译","后台终端列表无效","src/server/backgroundTerminalReader.ts:40",""
"NT0651","服务端与协议错误","后续请求将在等待窗口结束后重试。","现有中文/翻译","后续请求将在等待窗口结束后重试。","src/server/apiProxy/component.ts:176",""
"NT0652","服务端与协议错误","忽略标记参数无效","现有中文/翻译","忽略标记参数无效","src/server/codexAppServerBridge.ts:9443",""
"NT0653","服务端与协议错误","忽略标记读取失败","现有中文/翻译","忽略标记读取失败","src/server/ignoredQuotaErrors.ts:16",""
"NT0654","服务端与协议错误","回调 URL 必须使用 localhost。","中文审核译文；当前源码为英文","The callback URL must use localhost.","src/server/accountAuthCoordinator.ts:434",""
"NT0655","服务端与协议错误","会话分页未前进，暂不能切换账号","现有中文/翻译","会话分页未前进，暂不能切换账号","src/server/codexAppServerBridge.ts:6571",""
"NT0656","服务端与协议错误","会话或回合 ID 无效","现有中文/翻译","会话或回合 ID 无效","src/server/ignoredQuotaErrors.ts:37",""
"NT0657","服务端与协议错误","会话列表游标重复，请重试搜索。","现有中文/翻译","会话列表游标重复，请重试搜索。","src/server/threadSearch.ts:86",""
"NT0658","服务端与协议错误","会话仍在更新，请重试搜索。","现有中文/翻译","会话仍在更新，请重试搜索。","src/server/threadSearch.ts:205",""
"NT0659","服务端与协议错误","会话尚未空闲或未载入，请刷新会话后再压缩。","现有中文/翻译","会话尚未空闲或未载入，请刷新会话后再压缩。","src/server/threadCompactionGate.ts:34",""
"NT0660","服务端与协议错误","会话运行状态未知，暂不能切换账号","现有中文/翻译","会话运行状态未知，暂不能切换账号","src/server/codexAppServerBridge.ts:6560",""
"NT0661","服务端与协议错误","会话运行资源已满，请先结束一个活动会话后重试","现有中文/翻译","会话运行资源已满，请先结束一个活动会话后重试","src/server/codexAppServerBridge.ts:6352",""
"NT0662","服务端与协议错误","获取技能中心失败。","中文审核译文；当前源码为英文","Failed to fetch skills hub","src/server/skillsRoutes.ts:551",""
"NT0663","服务端与协议错误","获取连接器图标失败。","中文审核译文；当前源码为英文","Failed to fetch connector logo","src/server/codexAppServerBridge.ts:8345",""
"NT0664","服务端与协议错误","获取连接器图标失败（{变量1}）。","中文审核译文；当前源码为英文模板","Connector logo fetch failed ({变量1})","src/server/codexAppServerBridge.ts:5443",""
"NT0665","服务端与协议错误","获取SKILL.md失败。","中文审核译文；当前源码为英文","Failed to fetch SKILL.md","src/server/skillsRoutes.ts:597",""
"NT0666","服务端与协议错误","激活调度器不可用","现有中文/翻译","激活调度器不可用","src/server/accountActivationScheduler.ts:49",""
"NT0667","服务端与协议错误","激活调度状态保存失败，已停止执行","现有中文/翻译","激活调度状态保存失败，已停止执行","src/server/accountActivationScheduler.ts:67",""
"NT0668","服务端与协议错误","激活回合未确认","现有中文/翻译","激活回合未确认","src/server/accountActivationSession.ts:111",""
"NT0669","服务端与协议错误","激活会话已清理","现有中文/翻译","激活会话已清理","src/server/accountActivationSession.ts:133",""
"NT0670","服务端与协议错误","激活计划保存失败","现有中文/翻译","激活计划保存失败","src/server/apiProxy/gateway.ts:660",""
"NT0671","服务端与协议错误","激活计划文件损坏，已停止执行","现有中文/翻译","激活计划文件损坏，已停止执行","src/server/accountActivationScheduler.ts:56",""
"NT0672","服务端与协议错误","激活凭据已过期","现有中文/翻译","激活凭据已过期","src/server/accountActivationSession.ts:66",""
"NT0673","服务端与协议错误","激活请求未完成，不自动重发","现有中文/翻译","激活请求未完成，不自动重发","src/server/accountActivationRequest.ts:12；src/server/accountActivationRequest.ts:35",""
"NT0674","服务端与协议错误","激活未确认完成，已让出资源，不自动重发","现有中文/翻译","激活未确认完成，已让出资源，不自动重发","src/server/accountActivationRuntime.ts:39",""
"NT0675","服务端与协议错误","激活响应无效，不自动重发","现有中文/翻译","激活响应无效，不自动重发","src/server/accountActivationRequest.ts:33",""
"NT0676","服务端与协议错误","激活已中止","现有中文/翻译","激活已中止","src/server/accountActivationSession.ts:82",""
"NT0677","服务端与协议错误","激活已中止，不自动重发","现有中文/翻译","激活已中止，不自动重发","src/server/accountActivationScheduler.ts:162",""
"NT0678","服务端与协议错误","激活已中止或超时，不自动重发","现有中文/翻译","激活已中止或超时，不自动重发","src/server/accountActivationScheduler.ts:11",""
"NT0679","服务端与协议错误","激活运行时不可用","现有中文/翻译","激活运行时不可用","src/server/accountActivationSession.ts:33；src/server/accountActivationSession.ts:79；src/server/accountActivationSession.ts:97",""
"NT0680","服务端与协议错误","激活运行时已退出","现有中文/翻译","激活运行时已退出","src/server/accountActivationSession.ts:80",""
"NT0681","服务端与协议错误","激活账号状态已变化，不自动重发","现有中文/翻译","激活账号状态已变化，不自动重发","src/server/accountActivationRuntime.ts:35",""
"NT0682","服务端与协议错误","激活资源释放异常；本次不重发，继续后续计划","现有中文/翻译","激活资源释放异常；本次不重发，继续后续计划","src/server/accountActivationScheduler.ts:168",""
"NT0683","服务端与协议错误","计划已变更或准备超时","现有中文/翻译","计划已变更或准备超时","src/server/accountActivationScheduler.ts:154",""
"NT0684","服务端与协议错误","技能安装已完成，但在本地已安装技能中找不到 {变量1}。","中文审核译文；当前源码为英文模板","Skill install completed but {变量1} was not found in local installed skills","src/server/skillsRoutes.ts:618",""
"NT0685","服务端与协议错误","加载当前账号失败。","中文审核译文；当前源码为英文","Failed to load the active account.","src/server/accountRoutes.ts:98",""
"NT0686","服务端与协议错误","加载更早的会话消息失败。","中文审核译文；当前源码为英文","Failed to load earlier thread messages","src/server/codexAppServerBridge.ts:8059",""
"NT0687","服务端与协议错误","加载账号失败。","中文审核译文；当前源码为英文","Failed to load accounts.","src/server/accountRoutes.ts:88",""
"NT0688","服务端与协议错误","加载终端快捷命令失败。","中文审核译文；当前源码为英文","Failed to load terminal quick commands","src/server/codexAppServerBridge.ts:7747",""
"NT0689","服务端与协议错误","结果不明的消息只能先核对，不能重新排队","现有中文/翻译","结果不明的消息只能先核对，不能重新排队","src/server/deliveryStore.ts:275",""
"NT0690","服务端与协议错误","解决目标账号的问题后才能激活该账号。","中文审核译文；当前源码为英文","The target account cannot be activated until its account issue is resolved.","src/server/accountAuthCoordinator.ts:738",""
"NT0691","服务端与协议错误","进程已对应另一条命令，请刷新后重新选择","现有中文/翻译","进程已对应另一条命令，请刷新后重新选择","src/server/backgroundTerminalReader.ts:91",""
"NT0692","服务端与协议错误","旧队列包含冲突的发送 ID，迁移已停止","现有中文/翻译","旧队列包含冲突的发送 ID，迁移已停止","src/server/deliveryStore.ts:91",""
"NT0693","服务端与协议错误","旧队列内容无效，已停止迁移","现有中文/翻译","旧队列内容无效，已停止迁移","src/server/codexAppServerBridge.ts:4778",""
"NT0694","服务端与协议错误","旧会话超过 8 MB 回退上限，请使用支持原生分页的 Codex CLI。","现有中文/翻译","旧会话超过 8 MB 回退上限，请使用支持原生分页的 Codex CLI。","src/server/threadHistory.ts:62",""
"NT0695","服务端与协议错误","旧会话缺少可核对的历史文件，无法加载全文回退。","现有中文/翻译","旧会话缺少可核对的历史文件，无法加载全文回退。","src/server/threadHistory.ts:60",""
"NT0696","服务端与协议错误","旧会话响应超过 8 MB 回退上限。","现有中文/翻译","旧会话响应超过 8 MB 回退上限。","src/server/threadHistory.ts:77；src/server/threadHistory.ts:146",""
"NT0697","服务端与协议错误","旧凭据连接仍在使用，请等待或关闭旧连接后重试。","现有中文/翻译","旧凭据连接仍在使用，请等待或关闭旧连接后重试。","src/server/apiProxy/component.ts:86",""
"NT0698","服务端与协议错误","旧账号连接已撤销。","现有中文/翻译","旧账号连接已撤销。","src/server/accountAuthCoordinator.ts:663",""
"NT0699","服务端与协议错误","旧账号探针已撤销。","现有中文/翻译","旧账号探针已撤销。","src/server/accountAuthCoordinator.ts:877",""
"NT0700","服务端与协议错误","可能已经送达；停止跟踪不会中止已执行的任务","现有中文/翻译","可能已经送达；停止跟踪不会中止已执行的任务","src/server/deliveryStore.ts:293",""
"NT0701","服务端与协议错误","历史观察记录无法读取；本次记录仅在内存中保留。","现有中文/翻译","历史观察记录无法读取；本次记录仅在内存中保留。","src/server/processActivityStore.ts:49",""
"NT0702","服务端与协议错误","历史位置已变化，请刷新会话后重试。","现有中文/翻译","历史位置已变化，请刷新会话后重试。","src/server/threadHistory.ts:114",""
"NT0703","服务端与协议错误","历史项目分页返回无效数据。","现有中文/翻译","历史项目分页返回无效数据。","src/server/threadHistory.ts:195",""
"NT0704","服务端与协议错误","历史项目游标重复，请刷新后重试。","现有中文/翻译","历史项目游标重复，请刷新后重试。","src/server/threadHistory.ts:205",""
"NT0705","服务端与协议错误","历史游标重复，请刷新后重试。","现有中文/翻译","历史游标重复，请刷新后重试。","src/server/threadHistory.ts:164",""
"NT0706","服务端与协议错误","连接测试失败，请检查地址、模型和凭据","现有中文/翻译","连接测试失败，请检查地址、模型和凭据","src/server/customConnectionStore.ts:109",""
"NT0707","服务端与协议错误","连接配置已变化，请重新发送","现有中文/翻译","连接配置已变化，请重新发送","src/server/codexAppServerBridge.ts:7377",""
"NT0708","服务端与协议错误","连接器图标响应缺少图像数据。","中文审核译文；当前源码为英文","Connector logo response was missing image data","src/server/codexAppServerBridge.ts:5451",""
"NT0709","服务端与协议错误","连接数已达上限。","现有中文/翻译","连接数已达上限。","src/server/apiProxy/activity.ts:32",""
"NT0710","服务端与协议错误","连接正在使用，请等待任务完成","现有中文/翻译","连接正在使用，请等待任务完成","src/server/codexAppServerBridge.ts:7405",""
"NT0711","服务端与协议错误","链接登录进程已结束，请重新开始登录。","现有中文/翻译","链接登录进程已结束，请重新开始登录。","src/server/accountAuthCoordinator.ts:521",""
"NT0712","服务端与协议错误","列出分支失败。","中文审核译文；当前源码为英文","Failed to list branches","src/server/codexAppServerBridge.ts:8693",""
"NT0713","服务端与协议错误","另一个进程正在管理此 CODEX_HOME 的发送记录","现有中文/翻译","另一个进程正在管理此 CODEX_HOME 的发送记录","src/server/deliveryStore.ts:77",""
"NT0714","服务端与协议错误","另一个进程正在管理账号激活计划","现有中文/翻译","另一个进程正在管理账号激活计划","src/server/accountActivationScheduler.ts:53",""
"NT0715","服务端与协议错误","另一个实例持有调度锁；本实例等待锁释放后再执行自动化","现有中文/翻译","另一个实例持有调度锁；本实例等待锁释放后再执行自动化","src/server/automationEngine.ts:91",""
"NT0716","服务端与协议错误","另一项变更正在进行。","现有中文/翻译","另一项变更正在进行。","src/server/apiProxy/gateway.ts:682",""
"NT0717","服务端与协议错误","另一项账号变更正在进行。","现有中文/翻译","另一项账号变更正在进行。","src/server/accountAuthCoordinator.ts:1022",""
"NT0718","服务端与协议错误","漏跑超过 24 小时，请按需手动补跑","现有中文/翻译","漏跑超过 24 小时，请按需手动补跑","src/server/automationEngine.ts:283",""
"NT0719","服务端与协议错误","轮换密钥失败。","中文审核译文；当前源码为英文","Failed to rotate key","src/server/codexAppServerBridge.ts:7614",""
"NT0720","服务端与协议错误","没有可用的当前账号凭据。","中文审核译文；当前源码为英文","No active account credential is available.","src/server/accountAuthCoordinator.ts:643；src/server/accountAuthCoordinator.ts:654",""
"NT0721","服务端与协议错误","没有可用的会话日志。","中文审核译文；当前源码为英文","No session log available","src/server/codexAppServerBridge.ts:8264",""
"NT0722","服务端与协议错误","没有可用的免费密钥。","中文审核译文；当前源码为英文","No free keys available","src/server/codexAppServerBridge.ts:7495；src/server/codexAppServerBridge.ts:7605",""
"NT0723","服务端与协议错误","没有可用于获取连接器图标的认证令牌。","中文审核译文；当前源码为英文","No auth token available for connector logo","src/server/codexAppServerBridge.ts:5431",""
"NT0724","服务端与协议错误","没有可用于转写的认证令牌。","中文审核译文；当前源码为英文","No auth token available for transcription","src/server/codexAppServerBridge.ts:8318",""
"NT0725","服务端与协议错误","每次最多读取 100 个会话目标","现有中文/翻译","每次最多读取 100 个会话目标","src/server/codexAppServerBridge.ts:9467；src/server/threadGoalReader.ts:23",""
"NT0726","服务端与协议错误","每次最多读取 100 个会话状态","现有中文/翻译","每次最多读取 100 个会话状态","src/server/codexAppServerBridge.ts:9456；src/server/sidebarThreadStatusReader.ts:67",""
"NT0727","服务端与协议错误","每页数量必须为 1 至 100","现有中文/翻译","每页数量必须为 1 至 100","src/server/automationHistory.ts:67",""
